Date,EP03,PP01,TX02,TX04
2012/1/15,1.7,0,20.1,14.6
2012/1/16,1.7,0,20.1,13.9
2012/1/17,3.4,0,22.5,13.2
2012/1/18,2.6,0,22.7,13.9
2012/1/19,1.9,0,22.3,16.8
2012/1/20,1.7,0,23.1,18.6
2012/1/21,1.5,0,19.8,14.7
2012/1/22,2.6,0,19.9,13.9
2012/1/23,2.5,0,16.9,10.3
2012/1/24,2.4,0,20.6,9.6
2012/1/25,2.5,0,22.6,11.6
2012/1/26,1.7,0,23.5,12.1
2012/1/27,2.2,0,22.2,13.2
2012/1/28,1.9,0,23.9,14.4
2012/1/29,2.3,0,22.1,16.2
2012/1/30,1.9,1.5,19.3,14.5
2012/1/31,2.1,0,21.6,13.9
2012/2/1,1.4,0,19.4,13.5
2012/2/2,2.3,0,22.2,11.9
2012/2/3,2.2,0,15.8,10.8
2012/2/4,0.3,3.5,13.7,10.9
2012/2/5,0.2,12.5,17.4,13.1
2012/2/6,2.5,0,22.6,14.3
2012/2/7,2.1,0,21.9,14.7
2012/2/8,1.9,0,22.8,14.7
2012/2/9,2.6,0,24,14.6
2012/2/10,2.9,0,20.1,15
2012/2/11,1.3,0,22.4,14.6
2012/2/12,0.6,0.6,21.4,16.3
2012/2/13,0.9,1.5,23,17.1
2012/2/14,1.3,2.7,23.2,16.7
2012/2/15,1.3,14,17.4,14.6
2012/2/16,1.9,0,22.4,11.1
2012/2/17,2,0,25.9,15.2
2012/2/18,2.6,0,25.7,14.8
2012/2/19,2,0,23,14.6
2012/2/20,2.1,0,22.7,15.8
2012/2/21,0.9,7.1,16.7,11.9
2012/2/22,0.4,4.2,15.3,11.3
2012/2/23,1.4,7.8,19.3,12.7
2012/2/24,1.4,3.2,16.1,11.7
2012/2/25,1.5,0,21.2,11.6
2012/2/26,2.4,0,22.7,12.8
2012/2/27,2.2,0,23,12.8
2012/2/28,3.4,0,21.7,15.6
2012/2/29,4.6,0,21.3,14.8
2012/3/1,2,0,20.5,12.9
2012/3/2,2.2,0,20.8,11.4
2012/3/3,1.7,0,22.3,13.8
2012/3/4,1.6,0,16.1,12.8
2012/3/5,1.8,0,24.8,13
2012/3/6,2.9,0,26.3,15.4
2012/3/7,1.8,0,28.2,17.7
2012/3/8,1.7,11.5,23,11.8
2012/3/9,0.8,11.2,12.4,10.1
2012/3/10,0.8,0,16.3,10.1
2012/3/11,2.3,0,22.2,12.2
2012/3/12,2.5,0,20.8,14.3
2012/3/13,3.9,0,20,14.6
2012/3/14,1.6,0,27.8,14.6
2012/3/15,3.8,0,28.3,16.8
2012/3/16,2,0.2,22.4,16.6
2012/3/17,2.8,0,21.1,14.8
2012/3/18,3,0,17.8,12.7
2012/3/19,2.5,0,19.5,12
2012/3/20,1.7,0,18.4,11.7
2012/3/21,2.7,0,21.4,12.9
2012/3/22,1.2,0,22,14.3
2012/3/23,2.3,0.1,27.7,17.9
2012/3/24,1.5,6.2,28.6,19.5
2012/3/25,1,3.8,22.1,16.1
2012/3/26,1.8,14.1,19.1,13.7
2012/3/27,1.1,1.7,14.4,12.5
2012/3/28,0.5,10.8,14.7,12
2012/3/29,0.3,17.6,15.6,11.8
2012/3/30,1.3,0,22.4,11.6
2012/3/31,2.3,0,26.4,13.5
2012/4/1,3.2,0,28.4,15.7
2012/4/2,2.3,0,27.9,16.1
2012/4/3,1.6,0,27.3,15.2
2012/4/4,3.1,0,30.7,18
2012/4/5,6.1,0,29.7,17.5
2012/4/6,3.2,0,26,16.1
2012/4/7,1.7,0,23,14.8
2012/4/8,1.3,4.1,17.6,13
2012/4/9,0.8,8.2,15.1,12
2012/4/10,0.4,11,15.7,12.4
2012/4/11,0.6,11.9,17.1,12.5
2012/4/12,1.9,5.6,18.9,12.9
2012/4/13,1.4,0,19.1,14.3
2012/4/14,2.7,0,25.7,15.1
2012/4/15,3,0,30.3,16
2012/4/16,3.7,0,30.9,21
2012/4/17,3.4,0,31,22.1
2012/4/18,2.9,0,28.1,19.8
2012/4/19,2.8,0,27.9,17.5
2012/4/20,3.3,0,23.5,17
2012/4/21,3.2,0,29,17.7
2012/4/22,4.9,0,32.2,16.7
2012/4/23,2.5,0,16.9,12.6
2012/4/24,3.2,0,24.7,14.1
2012/4/25,3.1,0,26,14
2012/4/26,3.4,0,27.4,15.8
2012/4/27,4.1,0,27.7,17
2012/4/28,2.6,0,26.5,18.2
2012/4/29,3.6,0,29,17
2012/4/30,5.6,0,24.8,17.7
